,Age,MaritalStatus,Occupation,WeeklyWorkingHours,WorkLifeBalance,EducationLevel,InvestmentOutcome,Income
7725,35,1,1,50,2,1,2,0
9200,46,1,6,45,1,2,2,0
28998,29,0,1,48,1,3,2,0
21891,44,1,3,40,1,1,2,0
30113,50,0,1,55,0,1,2,0
28073,27,1,0,38,0,3,2,0
28532,17,1,4,20,1,0,2,0
8411,53,0,1,40,2,1,2,1
20638,36,0,4,35,1,3,2,1
26142,20,1,4,30,0,1,2,0
24222,37,0,1,40,0,1,2,0
26455,33,0,5,40,1,1,2,0
8206,65,1,0,38,2,1,2,0
11274,17,1,1,40,2,0,2,0
9461,34,0,1,40,2,1,2,0
17082,42,0,1,45,0,0,2,0
28279,18,1,1,20,1,0,2,0
13235,54,0,5,50,2,1,2,0
18983,25,1,1,40,0,0,2,0
15884,46,1,0,30,1,1,2,0
31585,40,1,5,30,1,1,2,1
2993,36,1,3,30,1,4,4,0
6233,42,0,3,40,1,1,2,1
747,44,0,3,35,2,4,0,1
24597,31,0,6,55,1,2,2,1
2962,41,1,1,40,1,3,4,0
422,37,0,5,40,1,3,0,1
29173,36,0,5,40,0,2,2,0
19138,33,0,3,40,1,5,2,1
31900,35,1,1,40,0,1,2,0
32470,24,1,1,32,2,3,2,0
25870,45,1,0,40,1,1,2,0
20135,31,0,3,60,1,3,2,1
1420,46,0,1,55,1,2,0,0
22765,24,1,6,20,1,1,2,0
7353,23,0,1,40,1,2,2,0
17205,22,1,3,40,1,3,2,0
32149,62,0,1,40,2,2,2,0
6296,20,1,1,45,1,1,2,0
29865,38,0,4,40,1,1,2,0
27598,35,1,5,50,1,2,2,0
24394,31,1,3,40,2,2,2,0
10079,44,0,3,40,0,4,2,1
16309,50,0,1,40,0,1,2,0
1772,79,1,4,45,2,0,4,1
11623,66,0,1,40,1,1,2,0
5292,55,1,0,40,1,1,2,0
5603,65,0,5,16,2,1,2,0
31374,51,0,5,40,1,3,2,1
21091,27,0,6,55,0,2,2,0
18807,32,1,6,40,2,3,2,0
473,34,0,4,50,0,3,0,1
14805,28,0,1,38,2,1,2,0
16538,28,0,6,46,2,3,2,1
19414,64,1,4,40,1,1,2,0
7921,26,1,5,24,0,1,2,0
10655,36,1,1,45,0,1,2,0
6985,43,0,1,50,0,1,2,0
13713,44,0,5,20,1,3,2,1
25111,59,0,4,60,2,1,2,0
7091,39,0,0,40,0,2,2,0
29525,23,1,5,40,2,1,2,0
2726,54,0,0,40,1,4,4,1
19115,25,1,1,20,1,1,2,0
12479,25,0,6,20,1,3,2,0
27835,23,1,5,40,2,1,2,0
15076,38,0,0,45,0,1,2,0
29026,41,0,5,55,2,0,2,0
29758,58,0,1,40,1,1,2,0
16401,76,1,5,17,1,1,2,0
15656,37,0,1,25,2,0,2,0
22308,23,1,0,40,0,1,2,0
17194,17,1,1,20,1,0,2,0
27694,40,1,6,40,0,2,2,1
21469,28,1,0,60,2,1,2,0
7474,46,0,4,45,0,3,2,1
7804,20,1,5,20,0,1,2,0
5002,48,1,1,30,2,1,2,0
32156,45,1,3,56,1,3,2,0
17689,47,0,0,40,1,1,2,1
9315,40,0,1,40,1,1,2,0
17486,36,0,6,33,0,1,2,0
22771,20,1,4,35,0,2,2,0
29453,49,0,4,50,1,1,2,0
6527,39,0,1,40,1,1,2,0
29439,33,0,6,50,1,4,2,1
21864,49,0,6,40,0,1,2,1
8943,35,0,1,50,1,0,2,0
17810,30,1,3,30,1,4,2,0
23185,23,1,5,40,1,0,2,0
27293,49,1,4,40,0,1,2,0
16460,46,1,0,36,2,1,2,0
13663,24,1,0,40,2,1,2,0
29941,46,0,0,40,1,2,2,1
31181,18,1,5,37,1,1,2,0
5366,43,0,4,45,2,1,2,0
15084,25,1,6,40,1,3,2,0
7271,19,1,1,25,1,1,2,0
23672,37,1,1,37,1,0,2,0
28433,24,1,5,30,0,1,2,0
20304,57,1,1,60,1,1,2,1
25903,45,1,6,50,0,3,2,0
21077,39,0,3,50,2,3,2,1
18519,55,0,1,50,2,0,2,0
27832,37,0,3,50,0,5,2,1
22144,63,1,1,25,2,1,2,0
5917,26,1,3,50,2,3,2,0
28993,32,1,1,40,1,0,2,0
10517,41,1,5,40,1,1,2,0
31646,42,1,5,35,2,1,2,0
22570,29,0,5,40,0,1,2,0
28128,68,1,1,20,2,1,2,0
25897,28,0,5,50,1,3,2,0
23337,52,0,0,30,0,1,2,0
22834,62,1,4,40,1,2,2,0
12196,41,1,3,40,2,4,2,0
12607,43,0,6,35,1,4,2,1
20828,55,0,0,40,2,1,2,1
7810,44,0,6,50,2,3,2,0
24625,26,1,1,20,0,1,2,0
3177,34,1,0,40,1,1,3,0
22712,37,1,6,48,0,2,2,0
29821,60,0,4,40,2,0,2,1
27324,27,0,0,38,1,1,2,0
32406,20,1,0,20,1,1,2,0
8517,60,1,0,40,1,2,2,0
6128,39,0,1,40,0,1,2,0
31647,21,1,1,40,1,1,2,0
9082,31,0,3,40,0,3,2,0
12176,66,0,4,26,1,0,2,0
27566,46,0,5,60,0,3,2,1
22900,29,0,5,20,2,1,2,0
24455,30,0,3,55,1,1,2,0
29697,60,0,5,40,1,1,2,0
13371,30,1,5,24,1,1,2,0
722,60,0,6,40,1,5,0,1
20351,33,0,6,40,2,5,2,1
28082,59,1,5,40,1,1,2,0
18756,29,1,5,52,2,1,2,0
1446,24,1,1,50,1,1,0,0
4154,17,1,1,30,2,0,3,0
27513,23,1,5,20,1,1,2,0
7527,25,1,3,40,0,3,2,0
18942,33,1,3,50,0,2,2,0
9861,39,1,3,40,1,3,2,0
13212,64,0,0,40,1,1,2,0
13241,28,1,1,40,0,0,2,0
1162,49,1,1,40,2,1,0,0
6201,47,1,5,35,0,2,2,0
22823,49,1,4,50,1,1,2,0
26191,74,0,0,20,2,0,2,0
30036,37,1,3,30,1,1,2,0
28125,61,1,5,16,1,1,2,0
20197,43,1,1,40,1,2,2,0
4858,50,0,6,42,1,1,2,1
12057,41,0,1,40,0,1,2,1
8333,33,1,6,40,1,1,2,0
7000,31,1,1,40,1,0,2,0
15402,49,0,5,40,0,3,2,0
28397,27,0,0,40,1,2,2,1
18752,38,0,1,40,0,1,2,1
19060,36,0,5,40,1,2,2,0
11398,27,1,6,50,2,2,2,0
3574,58,1,1,30,1,1,3,0
18643,25,1,1,40,1,3,2,0
4659,41,1,0,36,2,1,2,0
16123,70,0,6,35,1,1,2,0
4522,26,1,4,40,1,2,2,0
10689,30,1,5,40,2,2,2,0
30033,27,0,1,40,1,1,2,0
7284,46,0,4,50,2,1,2,1
8016,22,1,1,40,2,1,2,0
24641,52,0,6,50,1,0,2,0
12266,52,1,1,25,1,3,2,0
26268,43,1,1,40,2,1,2,0
22948,46,0,6,48,2,3,2,1
21684,44,0,6,40,1,4,2,1
11342,29,1,1,40,0,3,2,0
11198,44,0,4,30,2,3,2,0
24786,31,0,1,40,2,1,2,0
21962,56,0,1,40,1,3,2,0
9356,63,0,1,20,2,1,2,0
6157,30,1,0,40,2,1,2,0
13316,29,0,3,40,2,1,2,0
28807,23,1,1,40,2,1,2,0
12450,23,1,1,25,2,1,2,0
590,33,0,6,45,2,3,0,1
24771,41,1,1,40,0,1,2,1
32238,41,0,1,60,1,1,2,1
24372,57,1,5,40,0,2,2,0
20975,27,1,4,40,1,1,2,0
31853,35,1,5,30,0,1,2,0
12785,60,0,1,50,2,3,2,0
25467,32,1,5,60,1,1,2,0
21992,37,0,3,40,2,3,2,0
9949,41,1,5,25,1,0,2,0
4203,43,1,0,20,1,1,3,0
1004,21,0,1,40,1,0,0,0
4598,63,0,6,40,0,1,2,1
30998,25,1,1,55,1,2,2,0
12509,33,0,6,42,2,1,2,1
29993,41,1,6,40,2,1,2,0
26279,43,1,5,40,1,1,2,0
25970,44,1,5,40,1,1,2,0
21272,43,1,6,40,1,1,2,0
6269,22,1,1,25,1,1,2,0
29619,61,0,4,30,0,0,2,1
27774,26,1,0,40,1,3,2,0
23115,37,0,0,40,2,1,2,0
20818,53,1,1,40,1,1,2,0
5346,57,0,5,40,1,0,2,0
487,36,0,0,40,2,4,0,1
29084,45,1,6,44,2,2,2,0
14958,27,0,6,45,1,3,2,1
11991,43,0,6,50,2,3,2,0
25802,58,0,3,24,1,6,2,1
30249,38,0,6,65,2,4,2,1
19041,20,1,5,40,1,1,2,0
16314,48,0,3,40,1,1,2,1
18950,27,1,4,40,1,3,2,0
10000,43,1,3,40,1,3,2,0
15515,19,1,4,40,1,1,2,0
8035,19,1,1,50,1,1,2,0
20819,58,1,4,24,0,1,2,0
28093,41,1,6,45,1,1,2,0
19169,20,1,5,29,1,1,2,0
7849,63,1,5,40,1,1,2,0
16482,33,0,5,38,1,1,2,0
1197,28,0,4,40,1,1,0,0
27780,76,1,1,40,2,1,2,0
4701,29,1,3,40,0,6,2,0
1930,30,0,5,40,2,1,4,1
29481,26,1,5,38,1,0,2,0
10784,27,0,1,40,1,1,2,0
17674,47,0,4,60,2,3,2,1
2543,50,0,6,50,2,3,4,1
3215,45,1,0,35,1,3,3,1
14992,29,0,1,40,1,1,2,0
18398,45,1,4,35,1,1,2,0
14966,60,1,5,40,1,0,2,0
6030,25,1,0,36,1,1,2,0
15317,34,1,1,40,1,1,2,0
30421,37,0,1,50,0,0,2,0
21354,46,1,3,40,2,3,2,0
14134,46,0,4,40,1,1,2,0
28511,39,1,1,20,2,1,2,0
6478,21,1,1,50,1,1,2,0
3717,55,0,1,40,1,1,3,1
7460,46,0,5,43,0,1,2,1
12442,28,1,1,40,1,0,2,0
23545,43,1,6,60,0,3,2,1
29021,30,0,1,40,1,1,2,0
30166,33,0,3,40,0,3,2,0
8060,56,1,1,40,0,1,2,0
26624,73,0,1,40,2,0,2,0
8339,51,1,6,55,1,2,2,0
24118,20,1,5,20,1,1,2,0
8674,25,1,1,20,1,2,2,0
28502,51,0,1,40,0,1,2,0
6154,23,1,1,40,1,0,2,0
4577,28,1,5,40,1,1,2,0
7145,21,1,5,35,1,1,2,0
19814,44,0,6,60,1,0,2,0
29671,23,1,0,35,1,3,2,0
29586,50,0,6,40,1,1,2,0
21901,20,1,1,25,1,1,2,0
24976,42,0,6,50,1,2,2,0
8325,55,1,5,38,1,1,2,0
22820,41,1,5,40,1,0,2,0
3455,34,0,0,45,1,2,3,0
26911,46,0,5,40,1,1,2,0
16882,21,1,1,25,2,1,2,0
23745,17,1,1,40,1,0,2,0
23225,34,0,0,40,2,1,2,0
8828,25,1,0,20,1,3,2,0
32516,25,1,0,40,1,3,2,0
19977,38,1,0,50,2,4,2,1
28199,23,0,4,47,1,1,2,0
19397,37,0,3,45,2,4,2,1
29651,31,0,1,65,0,1,2,0
3013,48,0,6,40,0,1,4,1
20858,23,0,1,25,2,2,2,0
2781,45,0,6,40,1,3,4,1
19263,44,0,1,60,2,2,2,1
21098,53,0,1,45,2,0,2,0
8928,33,1,5,40,0,1,2,0
11338,60,0,4,40,1,1,2,0
8984,56,0,1,45,0,2,2,1
3767,32,1,0,35,2,1,3,0
25733,17,1,1,25,2,0,2,0
19789,41,0,5,32,0,0,2,0
27664,27,0,1,40,1,0,2,0
4353,27,1,4,40,1,1,2,0
1616,55,0,4,60,1,3,4,1
18269,21,1,5,25,1,0,2,0
6258,45,0,1,40,1,2,2,0
5638,40,0,0,40,1,2,2,1
16476,54,1,5,28,2,1,2,0
12978,46,0,5,40,1,1,2,0
28706,35,0,1,40,2,1,2,0
7706,28,1,1,40,2,1,2,0
7691,19,1,1,42,1,1,2,0
17683,44,1,5,40,1,2,2,0
27141,35,0,5,60,1,0,2,0
30951,31,0,4,65,1,3,2,0
14659,90,1,6,55,2,3,2,0
20248,19,1,1,60,0,1,2,0
31384,27,0,1,40,0,1,2,0
512,48,0,3,45,0,5,0,1
31882,41,1,5,40,2,1,2,0
20196,39,0,1,40,2,1,2,0
7482,55,1,4,30,0,2,2,0
14685,31,0,5,38,0,2,2,0
1981,50,0,6,65,0,4,4,1
23787,37,0,1,40,1,1,2,1
19342,42,0,3,60,1,4,2,0
19408,51,0,1,40,0,1,2,0
9627,49,0,1,40,0,0,2,0
9553,38,1,5,32,2,1,2,0
28741,31,0,5,50,1,3,2,1
25753,35,1,1,60,1,1,2,0
29733,31,0,1,60,1,1,2,0
23875,47,0,6,38,1,3,2,1
12419,33,1,4,40,1,1,2,0
6224,43,1,6,60,1,3,2,0
2035,51,0,3,40,1,4,4,1
1986,47,0,3,40,2,3,4,1
7628,20,1,4,20,2,1,2,0
31632,22,0,5,40,1,0,2,0
32391,51,0,6,60,2,1,2,1
1807,57,0,4,65,2,4,4,1
1552,33,1,4,60,1,6,4,1
24350,47,1,0,57,2,2,2,0
9573,58,0,6,60,1,1,2,1
11013,32,0,1,40,1,1,2,0
18397,48,0,1,40,2,1,2,0
20155,38,0,1,40,2,2,2,0
12547,56,1,6,45,0,3,2,1
25523,26,1,1,40,0,2,2,0
28791,39,1,6,60,1,3,2,0
18502,25,1,5,40,1,1,2,0
21961,40,1,6,40,1,3,2,0
11927,56,1,1,45,2,0,2,0
16581,54,0,3,46,0,6,2,1
17730,35,1,5,38,0,0,2,0
23513,39,0,1,50,2,1,2,0
10340,44,0,6,40,0,3,2,1
16021,21,1,1,40,1,1,2,0
31084,31,1,4,50,1,1,2,0
30745,37,1,5,30,0,1,2,0
329,27,1,1,40,1,1,0,0
1174,56,1,3,38,1,6,0,0
27251,41,0,1,40,0,1,2,0
900,42,1,3,40,1,4,0,0
16343,38,0,3,45,2,6,2,1
24555,23,1,4,36,1,1,2,0
13123,90,0,1,40,1,1,2,0
20397,30,1,1,30,1,1,2,0
2397,55,0,3,45,2,4,4,1
17804,28,0,6,40,0,3,2,1
28163,26,0,1,40,0,0,2,0
12007,46,0,5,40,1,1,2,0
15360,48,1,5,32,0,1,2,0
10482,44,1,3,40,1,3,2,0
6817,29,0,1,40,1,0,2,0
6499,54,0,1,45,0,1,2,0
4391,37,0,0,42,1,1,2,1
16768,28,1,3,40,1,3,2,0
8,68,1,3,40,1,1,0,0
22265,50,0,1,40,0,0,2,0
5731,38,1,0,40,1,3,2,0
25590,46,0,4,55,0,3,2,1
1837,53,0,6,55,2,4,4,1
4312,57,0,3,40,0,2,2,0
14817,27,0,1,45,2,1,2,0
760,32,0,5,45,0,3,0,1
8312,20,1,0,20,1,1,2,0
23684,30,1,1,40,1,2,2,0
22235,42,1,1,45,0,1,2,0
17094,27,0,1,40,1,1,2,0
23288,42,1,1,40,2,1,2,0
23867,45,0,3,50,1,6,2,1
19207,50,0,1,45,1,3,2,1
1465,42,1,5,40,2,0,0,0
5441,42,1,1,40,1,0,2,1
12830,37,0,5,40,0,0,2,0
25462,38,0,1,40,1,1,2,0
3282,20,1,5,25,2,1,3,0
6586,54,0,5,20,0,1,2,0
32504,57,0,1,40,1,1,2,0
26537,60,1,5,25,1,1,2,0
23500,40,1,1,40,0,0,2,0
24305,18,1,5,60,2,1,2,0
24755,65,0,6,40,2,1,2,1
20836,57,1,5,30,0,1,2,0
10236,40,1,3,50,1,2,2,0
32216,36,0,6,37,2,2,2,0
822,42,0,1,48,1,4,0,1
2448,36,0,4,40,2,1,4,1
19568,34,0,1,43,1,1,2,1
3876,32,1,4,48,1,2,3,0
12726,24,0,1,40,0,1,2,0
10019,36,1,3,40,2,4,2,0
18195,28,1,4,60,1,2,2,0
20185,34,0,1,40,0,0,2,0
16234,51,1,3,40,0,2,2,0
23266,24,1,1,40,1,0,2,0
26830,42,0,6,31,1,2,2,0
9446,30,0,1,40,0,1,2,0
31785,31,1,1,40,0,0,2,0
28255,75,1,4,35,1,1,2,1
9588,28,1,6,50,1,1,2,0
20592,59,0,1,20,1,4,2,0
6380,38,1,6,50,1,1,2,0
29332,20,0,0,60,1,1,2,0
15487,45,0,1,65,2,1,2,0
28308,30,1,6,40,1,3,2,0
25789,54,0,1,40,1,1,2,0
6014,35,0,1,40,1,0,2,0
27022,33,0,3,45,0,4,2,1
14022,46,1,6,50,0,1,2,0
23354,34,1,1,40,2,1,2,0
14296,29,0,0,65,1,1,2,0
21268,44,1,4,35,2,1,2,0
31712,39,0,3,40,1,4,2,1
12230,21,1,3,40,1,2,2,0
31977,38,0,4,55,0,1,2,1
6182,22,1,6,40,1,1,2,0
23435,26,1,0,25,1,3,2,0
8851,25,1,1,40,2,0,2,0
12314,20,1,0,20,1,1,2,0
5837,31,1,0,40,0,1,2,0
16756,23,1,5,40,1,1,2,0
22680,51,0,6,60,1,3,2,1
29076,49,0,3,40,0,1,2,1
32278,33,1,1,65,2,1,2,0
3271,27,1,0,40,1,1,3,0
118,83,0,6,55,0,3,0,1
22335,40,0,3,40,0,1,2,1
31318,26,1,1,50,1,1,2,0
2640,39,0,6,65,1,4,4,1
10026,40,0,6,45,2,1,2,1
5798,19,1,4,30,1,1,2,0
16104,20,1,6,40,1,1,2,0
11558,38,0,1,45,1,1,2,0
10796,46,1,6,40,2,1,2,0
26299,46,0,6,51,2,3,2,0
17469,28,1,3,60,1,6,2,1
18456,63,1,4,20,0,1,2,0
22354,42,1,1,38,1,1,2,0
28569,42,1,1,40,1,1,2,0
31398,18,1,4,33,1,1,2,0
16106,42,1,1,40,2,1,2,0
17436,24,1,3,40,2,3,2,0
14747,49,0,1,40,0,0,2,0
9023,34,0,3,40,1,4,2,1
23542,21,1,0,50,1,1,2,0
11031,42,1,3,45,0,1,2,0
23287,17,1,1,20,1,0,2,0
5914,40,1,1,35,2,0,2,0
25869,47,1,5,40,1,1,2,0
881,45,0,1,40,0,1,0,1
15730,43,0,6,50,1,3,2,1
30164,62,0,6,40,1,3,2,0
14279,29,1,4,50,2,3,2,1
19970,34,0,0,40,0,1,2,1
8935,56,1,0,40,0,1,2,0
19707,33,1,5,40,2,1,2,0
8838,31,0,1,40,2,1,2,0
6600,55,1,1,20,1,1,2,0
32269,44,1,5,40,1,1,2,0
2067,61,0,0,34,0,1,4,1
1466,44,1,5,40,0,2,0,0
3274,50,1,1,45,2,3,3,0
24824,40,1,4,40,0,3,2,0
28517,36,1,0,40,1,1,2,0
26076,40,0,3,60,1,3,2,1
8527,51,0,1,40,0,1,2,1
31400,51,1,1,40,0,0,2,0
6848,60,1,1,40,2,1,2,0
24029,46,1,3,40,1,6,2,1
20641,37,1,1,65,0,0,2,0
7999,22,1,1,35,1,1,2,0
10229,26,1,1,40,0,0,2,0
2055,46,0,3,50,2,4,4,1
30201,41,0,1,40,0,1,2,0
19296,30,1,6,45,0,3,2,0
25483,48,1,5,20,1,1,2,0
26120,50,0,5,38,1,2,2,1
13749,46,0,1,40,1,1,2,0
24860,23,1,4,40,2,1,2,0
748,39,0,6,50,1,3,0,1
15194,40,1,5,45,1,0,2,0
26684,19,1,5,20,1,1,2,0
9274,25,0,1,40,0,0,2,0
19795,64,0,1,50,1,0,2,0
18531,59,1,0,40,2,1,2,0
11847,53,0,1,35,1,0,2,0
3834,30,0,1,40,2,0,3,0
30167,39,0,3,42,1,3,2,0
7915,41,1,1,40,1,3,2,0
6394,42,1,5,35,1,1,2,0
12856,42,1,3,45,2,6,2,0
28148,58,0,5,20,0,0,2,0
12832,22,1,4,40,1,0,2,0
9521,34,0,0,40,1,1,2,0
27893,26,1,0,40,0,1,2,0
7653,52,1,3,35,1,2,2,0
17134,56,0,1,40,0,1,2,0
2118,30,0,6,60,1,4,4,1
13892,35,0,6,50,1,4,2,1
10301,44,1,3,40,1,3,2,0
25572,18,1,1,30,1,0,2,0
27413,43,1,0,40,1,1,2,0
2461,35,0,0,20,2,1,4,1
3755,55,0,3,45,0,4,3,1
1895,36,0,6,50,1,4,4,1
7621,57,0,5,48,1,1,2,0
30392,28,0,5,40,1,2,2,1
5296,42,0,1,60,2,1,2,0
25913,43,1,0,40,1,1,2,0
25950,25,1,0,40,1,3,2,0
10351,35,0,5,20,0,6,2,0
5237,51,1,1,40,1,1,2,0
26700,31,0,6,40,2,2,2,0
20223,24,1,4,35,1,1,2,0
5511,33,1,5,35,1,1,2,0
22603,22,1,6,40,1,3,2,0
18082,24,1,1,40,0,1,2,0
27631,67,1,5,40,0,1,2,0
30540,33,1,4,17,0,0,2,0
22964,35,1,1,40,1,0,2,0
25014,37,0,3,45,1,3,2,1
19191,51,1,5,40,2,1,2,0
12221,21,1,0,40,1,1,2,0
4946,24,1,4,40,2,3,2,0
29996,25,1,0,40,0,1,2,0
15545,54,1,1,40,0,0,2,0
20152,65,1,0,40,1,1,2,0
10096,44,1,3,60,2,3,2,0
8790,20,1,1,40,1,1,2,0
21664,32,0,1,40,0,1,2,0
1780,44,0,6,60,1,3,4,1
13742,43,0,1,30,0,1,2,0
3035,46,0,3,38,1,1,4,1
31297,28,1,1,40,1,1,2,0
15083,34,1,1,40,1,2,2,0
11459,29,0,4,18,0,1,2,0
11091,43,0,1,60,1,1,2,1
9396,39,0,3,36,1,3,2,1
18737,51,0,1,40,1,1,2,1
3521,37,0,1,50,1,1,3,0
9992,33,0,3,40,1,3,2,1
18086,23,0,5,40,1,1,2,0
10335,21,1,5,40,2,1,2,0
26753,31,1,5,40,1,1,2,0
6305,34,0,1,40,0,2,2,0
4106,39,1,3,40,0,4,3,0
8603,44,0,6,40,1,2,2,1
5138,28,1,3,55,2,5,2,0
2272,27,1,6,65,2,2,4,1
23066,33,0,0,40,1,2,2,0
21492,55,0,6,40,0,4,2,1
27750,22,1,4,40,0,1,2,0
3131,28,0,6,55,1,3,4,0
2233,66,0,6,40,2,3,4,1
11402,29,0,1,40,2,0,2,1
1037,31,0,0,20,0,1,0,0
23505,49,1,6,25,2,2,2,0
7002,47,1,1,40,1,0,2,0
3452,42,0,4,45,0,1,3,0
25463,37,1,1,35,1,1,2,0
31822,30,0,1,32,0,1,2,0
19252,34,1,1,40,2,1,2,0
5623,45,0,3,36,1,4,2,1
17319,49,1,0,44,2,1,2,0
14076,26,1,5,40,2,1,2,0
10080,22,1,1,25,1,1,2,0
17718,52,1,6,40,0,1,2,0
849,38,0,3,40,1,3,0,1
16197,36,1,4,40,2,1,2,0
16348,34,0,1,45,1,1,2,0
10977,41,1,0,52,2,1,2,0
18920,35,0,4,40,2,3,2,0
28782,27,0,1,40,1,1,2,0
18048,43,1,1,40,2,1,2,0
17606,48,0,1,44,2,1,2,0
23441,36,0,6,65,1,1,2,0
3489,50,1,4,40,1,0,3,0
31922,27,1,5,45,0,3,2,0
30769,23,1,5,48,2,1,2,0
23732,28,1,1,40,1,1,2,0
15723,47,1,3,40,0,1,2,0
25718,31,0,3,25,0,5,2,1
11830,40,0,0,40,1,1,2,0
1622,58,0,3,35,1,3,4,1
9104,49,0,1,50,1,1,2,1
1910,38,0,6,40,2,3,4,1
30388,27,1,1,40,1,1,2,0
2213,36,1,6,40,1,1,4,1
27844,40,1,3,20,2,4,2,0
28187,19,1,1,52,2,0,2,0
14523,49,0,6,40,0,4,2,1
31313,40,0,3,40,0,4,2,1
29160,42,1,4,47,2,1,2,0
2591,38,0,1,50,1,3,4,1
7309,24,1,3,50,1,3,2,0
17519,60,1,6,40,1,3,2,1
27645,26,1,0,50,1,3,2,0
20587,43,0,0,40,2,1,2,0
14937,68,1,3,16,1,5,2,0
23139,42,1,5,40,1,3,2,0
12387,23,1,6,40,2,2,2,0
11393,65,0,6,40,1,6,2,1
22791,27,0,6,50,2,1,2,0
7030,41,1,5,40,0,1,2,0
3409,47,0,0,40,2,2,3,0
8176,25,1,3,40,1,1,2,0
21249,71,0,1,40,1,0,2,0
31552,42,1,0,40,0,2,2,0
7661,25,0,1,40,1,0,2,0
14718,61,0,1,20,0,1,2,0
12842,29,0,3,24,2,3,2,0
25806,59,1,5,40,2,1,2,0
845,42,0,3,40,2,5,0,1
26140,38,0,4,55,2,1,2,1
16320,43,0,0,50,1,1,2,1
28668,39,1,5,40,1,1,2,0
14630,38,1,3,40,1,4,2,1
16845,22,1,3,20,1,1,2,0
11554,40,0,6,50,1,1,2,0
24927,19,1,0,20,1,1,2,0
12088,22,1,1,35,1,1,2,0
26349,47,0,5,30,1,1,2,1
19120,45,1,5,40,1,2,2,0
14235,28,0,4,40,1,3,2,0
8286,20,1,0,40,1,2,2,0
19785,49,0,1,40,1,1,2,0
5667,35,1,4,45,2,0,2,0
9944,39,0,4,50,1,3,2,1
7056,33,0,1,50,2,1,2,1
3286,53,0,0,40,1,1,3,1
31109,29,1,1,45,0,3,2,0
8831,32,1,0,30,1,2,2,0
21571,54,0,1,40,2,1,2,0
12258,36,1,0,40,1,1,2,0
7143,38,0,3,60,1,5,2,0
27,49,0,5,40,2,0,0,0
6161,36,1,6,40,1,3,2,0
6440,46,1,6,45,2,1,2,0
11814,18,1,5,27,1,0,2,0
3284,55,0,4,40,2,1,3,1
31006,36,0,3,45,1,1,2,1
11678,49,0,6,30,1,1,2,0
32292,39,0,0,40,1,1,2,1
23277,28,1,6,40,0,1,2,0
13405,54,1,4,40,1,1,2,0
16970,31,1,3,45,0,3,2,0
6483,31,0,4,40,1,1,2,0
6087,30,1,0,48,0,1,2,0
22873,33,0,5,40,1,2,2,0
14489,41,0,1,60,0,1,2,0
16653,31,0,3,60,1,0,2,0
18004,21,1,1,40,1,1,2,0
22919,40,1,1,55,2,1,2,0
8103,40,0,4,40,1,1,2,0
17750,25,1,1,40,0,1,2,0
28707,27,1,0,40,0,1,2,0
17872,52,1,6,65,0,1,2,1
19670,35,1,1,45,1,2,2,1
6895,74,1,6,40,2,1,2,0
5459,28,0,0,20,2,1,2,0
2382,44,0,6,60,1,3,4,1
28412,41,1,1,40,2,0,2,0
16102,49,0,3,40,1,4,2,1
24171,48,1,1,40,2,1,2,0
1706,58,1,1,50,1,3,4,1
22219,20,1,1,40,1,2,2,0
12845,64,0,6,16,1,1,2,0
26204,36,1,1,43,1,1,2,0
6914,18,1,4,20,0,1,2,0
29303,36,0,1,50,1,0,2,1
15725,28,1,1,40,1,0,2,0
24488,24,1,1,40,2,0,2,0
29552,43,0,1,40,2,0,2,0
1708,36,1,6,40,1,3,4,1
15120,37,0,1,45,1,0,2,0
13955,20,1,1,40,1,1,2,0
16754,48,0,6,60,1,1,2,0
25556,30,1,5,40,2,1,2,0
9218,41,0,6,60,1,1,2,1
1148,56,0,6,40,0,1,0,0
4666,52,0,0,40,0,1,2,0
27986,34,1,1,50,0,3,2,0
3413,46,0,1,55,0,1,3,0
8380,29,1,0,40,2,2,2,0
27806,18,1,1,25,2,1,2,0
2455,32,0,6,40,2,3,4,1
20538,58,0,6,40,2,1,2,0
16247,52,1,1,40,0,1,2,0
3752,60,0,1,60,1,1,3,1
18087,54,0,0,40,2,1,2,0
16440,33,0,1,40,0,2,2,0
11325,48,0,6,40,0,3,2,1
21890,39,1,1,40,2,1,2,0
7320,58,0,1,52,2,1,2,0
6955,59,1,1,40,1,1,2,0
13683,38,1,5,24,0,3,2,0
6615,24,1,4,38,2,1,2,0
29909,50,1,5,40,1,1,2,0
18630,25,1,1,40,1,1,2,0
2881,54,0,6,55,0,3,4,1
6575,42,1,4,45,1,3,2,0
13741,23,0,1,40,1,1,2,0
6778,22,0,1,22,1,1,2,0
22679,22,1,1,35,1,1,2,0
11920,45,0,6,40,2,1,2,0
15533,50,0,1,40,2,0,2,1
28748,30,1,1,40,0,1,2,0
7479,22,1,5,30,0,1,2,0
2042,47,0,6,40,1,4,4,1
6118,46,1,1,40,0,1,2,0
8815,49,0,1,40,2,0,2,0
25449,54,0,1,60,1,0,2,0
27278,48,0,1,45,1,1,2,0
23255,25,1,1,40,1,1,2,0
472,37,0,6,60,2,3,0,1
30852,21,1,1,40,0,1,2,0
17477,23,1,1,40,2,3,2,0
5186,34,0,3,25,2,2,2,1
29403,23,1,1,40,2,1,2,0
31868,26,1,1,40,0,1,2,0
9593,70,1,5,32,1,1,2,0
3007,32,0,1,45,2,1,4,1
